Distance: 0.000000, Angle: 310.828125 --- diff is 1.421875
Distance: 0.000000, Angle: 312.234375 --- diff is 1.406250
Distance: 0.000000, Angle: 313.656250 --- diff is 1.421875
Distance: 0.000000, Angle: 315.078125 --- diff is 1.421875
Distance: 0.000000, Angle: 316.500000 --- diff is 1.421875
Distance: 0.000000, Angle: 317.906250 --- diff is 1.406250
Distance: 0.000000, Angle: 319.328125 --- diff is 1.421875
Distance: 0.000000, Angle: 320.750000 --- diff is 1.421875
Distance: 0.000000, Angle: 322.171875 --- diff is 1.421875
Distance: 0.000000, Angle: 323.593750 --- diff is 1.421875
Distance: 0.000000, Angle: 325.015625 --- diff is 1.421875
Distance: 0.000000, Angle: 326.421875 --- diff is 1.406250
Distance: 0.000000, Angle: 327.843750 --- diff is 1.421875
Distance: 0.000000, Angle: 329.265625 --- diff is 1.421875
Distance: 0.000000, Angle: 330.875000 --- diff is 1.609375
Distance: 0.000000, Angle: 332.312500 --- diff is 1.437500
Distance: 0.000000, Angle: 333.750000 --- diff is 1.437500
Distance: 0.000000, Angle: 335.171875 --- diff is 1.421875
Distance: 0.000000, Angle: 336.609375 --- diff is 1.437500
Distance: 0.000000, Angle: 338.031250 --- diff is 1.421875
Distance: 0.000000, Angle: 339.468750 --- diff is 1.437500
Distance: 0.000000, Angle: 340.890625 --- diff is 1.421875
Distance: 0.000000, Angle: 342.312500 --- diff is 1.421875
Distance: 0.000000, Angle: 343.750000 --- diff is 1.437500
Distance: 345.250000, Angle: 341.562500 --- diff is -2.187500
Distance: 338.750000, Angle: 342.734375 --- diff is 1.171875
Distance: 332.500000, Angle: 344.453125 --- diff is 1.718750
Distance: 326.500000, Angle: 345.921875 --- diff is 1.468750
Distance: 321.000000, Angle: 347.296875 --- diff is 1.375000
Distance: 317.000000, Angle: 348.890625 --- diff is 1.593750
Distance: 312.250000, Angle: 350.359375 --- diff is 1.468750
Distance: 308.250000, Angle: 352.406250 --- diff is 2.046875
Distance: 304.750000, Angle: 353.546875 --- diff is 1.140625
Distance: 301.250000, Angle: 355.484375 --- diff is 1.937500
Distance: 298.000000, Angle: 356.578125 --- diff is 1.093750
Distance: 295.250000, Angle: 357.875000 --- diff is 1.296875
Distance: 292.500000, Angle: 359.218750 --- diff is 1.343750
Distance: 290.000000, Angle: 1.500000 --- diff is -357.718750
Distance: 288.000000, Angle: 2.593750 --- diff is 1.093750
Distance: 286.250000, Angle: 3.671875 --- diff is 1.078125
Distance: 284.000000, Angle: 5.859375 --- diff is 2.187500
Distance: 282.750000, Angle: 6.734375 --- diff is 0.875000
